Image,Length(mm),Width(mm),Status,Type
M6x25_10.jpg,30.73,10.01,ACCEPTED,M6x25
M6x25_11.jpg,30.85,10.01,ACCEPTED,M6x25
M6x25_12.jpg,31.07,10.02,ACCEPTED,M6x25
M6x25_3.jpg,30.49,10.03,ACCEPTED,M6x25
M6x25_4.jpg,30.48,9.97,ACCEPTED,M6x25
M6x25_5.jpg,30.98,10.07,ACCEPTED,M6x25
M6x25_6.jpg,30.67,10.10,ACCEPTED,M6x25
M6x25_7.jpg,30.30,9.90,ACCEPTED,M6x25
M6x25_8.jpg,30.43,9.87,ACCEPTED,M6x25
M6x25_9.jpg,30.84,9.98,ACCEPTED,M6x25
M8x10_10.jpg,17.80,13.05,REJECTED,M6x25
M8x10_3.jpg,18.68,12.84,REJECTED,M6x25
M8x10_4.jpg,18.60,12.93,REJECTED,M6x25
M8x10_5.jpg,18.73,12.97,REJECTED,M6x25
M8x10_7.jpg,18.60,12.87,REJECTED,M6x25
M8x10_8.jpg,19.00,12.80,REJECTED,M6x25
M8x10_9.jpg,18.95,12.94,REJECTED,M6x25
M8x16_1.jpg,23.98,11.65,REJECTED,M6x25
M8x16_2.jpg,24.10,12.90,REJECTED,M6x25
M8x16_3.jpg,24.22,13.07,REJECTED,M6x25
M8x16_4.jpg,24.03,12.98,REJECTED,M6x25
M8x16_5.jpg,23.85,13.07,REJECTED,M6x25
M8x16_7.jpg,24.64,13.04,REJECTED,M6x25
M8x16_8.jpg,24.25,13.01,REJECTED,M6x25
M8x16_9.jpg,24.34,13.05,REJECTED,M6x25
